,ID,nrSeryjny,Lat,Lon,Exists,
424,70721457,593-072-73179,51.796,17.989,right_only,
428,81742370,17340FU1000047,52.827,21.872,right_only,
434,3428597,593-072/71985,49.974,20.557,right_only,
438,339970,272,53.092,16.13,right_only,
439,8026943,369,50.719,21.57,right_only,
440,329000,220,53.374,23.432,right_only,
441,311420,311,50.233,19.712,right_only,
447,69799259,593-072-73177,52.03,21.185,right_only,
449,69065567,593-072-73172,49.974,21.924,right_only,
457,69064422,593-072-73171,49.598,19.108,right_only,
462,346530,281,50.596,19.15,right_only,niedawno podlaczony
465,28222859,88,52.26,21.006,right_only,nth
468,329230,221,53.403,23.49,right_only,nth
477,2247630,330,52.256,15.55,right_only,nth
480,72154127,593-072-73193,51.55,15.579,right_only,add
483,70721325,593-072-73181,54.328,18.195,right_only,niedawno podlaczony
